Rank,University,Town
1479,Cumberland University,Lebanon
1480,Montserrat College of Art,Beverly
1481,Eureka College,Eureka
1482,Kentucky Wesleyan College,Owensboro
1483,University of Saint Francis,Fort Wayne
1484,Holy Cross College,Notre Dame
1485,Missouri Valley College,Marshall
1486,Oklahoma Panhandle State University,Goodwell
1487,Cleveland University-Kansas City,Overland Park
1488,Rocky Vista University,Parker
1489,Central Penn College,Summerdale
1490,North Greenville University,Tigerville
1491,Johnson University,Knoxville
1492,York University,York
1493,Union Institute & University,Cincinnati
1494,Midway University,Midway
1495,Amberton University,Garland
1496,Livingstone College,Salisbury
1497,Southern University Law Center,Baton Rouge
1498,"Sterling College, Vermont",Craftsbury Common
1499,LeMoyne-Owen College,Memphis
1500,Gordon State College,Barnesville
1501,Keystone College,La Plume
1502,Lane College,Jackson
1503,Marshall B. Ketchum University,Fullerton
1504,Alliance University,New York City
1505,Brazosport College,Lake Jackson
1506,Penn State College of Medicine,Hershey
1507,Warner University,Lake Wales
1508,Young Harris College,Young Harris
1509,Bethany College,Bethany
1510,Cottey College,Nevada
1511,Mercy College of Health Sciences,Des Moines
1512,Bluefield State University,Bluefield
1513,Lake Erie College,Painesville
1514,West Virginia School of Osteopathic Medicine,Lewisburg
1515,Midland University,Fremont
1516,"Bethany College, Kansas",Lindsborg
1517,Webb Institute,Glen Cove
1518,Beacon College,Leesburg
1519,St. Thomas Aquinas College,Sparkill
1520,Clarks Summit University,Clarks Summit
1521,Chipola College,Marianna
1522,Mayville State University,Mayville
1523,Mount Marty University,Yankton
1524,Webber International University,Babson Park
1525,Vermont College of Fine Arts,Montpelier
1526,St. Johns River State College,Palatka
1527,Glenville State University,Glenville
1528,Cazenovia College,Cazenovia
1529,Monmouth College,Monmouth
1530,Mitchell College,New London
1531,Jarvis Christian University,Hawkins
1532,Humphreys University,Stockton
1533,Pacific Oaks College,Pasadena
1534,Morris College,Sumter
1535,Baptist University of Florida,Graceville
1536,"Baruch College, CUNY",New York City
1537,Illinois College of Optometry,Chicago
1538,Greensboro College,Greensboro
1539,Nazarene Bible College,Colorado Springs
1540,Simpson University,Redding
1541,Everglades University,Boca Raton
1542,Hodges University,Fort Myers
1543,New York College of Podiatric Medicine,New York City
1544,Fisher College,Boston
1545,Lincoln College,Lincoln
1546,Brewton-Parker College,Mount Vernon
1547,Principia College,Elsah
1548,Rust College,Holly Springs
1549,"Bethel University, Tennessee",McKenzie
1550,Goldey-Beacom College,Wilmington
1551,Art Academy of Cincinnati,Cincinnati
1552,Alice Lloyd College,Pippa Passes
1553,Hannibal-LaGrange University,Hannibal
1554,Pennsylvania College of Art and Design,Lancaster
1555,University of the West,Rosemead
1556,New England College of Optometry,Boston
1557,Calumet College of St. Joseph,Whiting
1558,The University of Tennessee Southern,Pulaski
1559,Centralia College,Centralia
1560,Oakland City University,Oakland City
1561,Bushnell University,Eugene
1562,Metropolitan College of New York,New York City
1563,Allen University,Columbia
1564,Peirce College,Philadelphia
1565,South Georgia State College,Douglas
1566,Mid-America Christian University,Oklahoma City
1567,"The Graduate Center, CUNY",New York City
1568,University of Maine at Machias,Machias
1569,Florida Gateway College,Lake City
1570,Williams Baptist University,Walnut Ridge
1571,Blessing-Rieman College of Nursing and Health Sciences,Quincy
1572,Washington Adventist University,Takoma Park
1573,Truett McConnell University,Cleveland
1574,Kettering College,Kettering
1575,Blackburn College,Carlinville
1576,Faith Baptist Bible College and Theological Seminary,Ankeny
1577,Bacone College,Muskogee
1578,University of Holy Cross,New Orleans
1579,Laguna College of Art and Design,Laguna Beach
1580,Davis & Elkins College,Elkins
1581,Tennessee Wesleyan University,Athens
1582,Northern New Mexico College,Espanola
1583,Villa Maria College,Buffalo
1584,Holy Apostles College and Seminary,Cromwell
1585,The School of Architecture,Paradise Valley
1586,Emmaus Bible College,Dubuque
1587,Barclay College,Haviland
1588,University of Hawaii-West Oahu,Kapolei
1589,Manhattan Christian College,Manhattan
1590,Florida College,Temple Terrace
1591,Dallas Christian College,Dallas
1592,Mount Carmel College of Nursing,Columbus
1593,Central Christian College of Kansas,McPherson
1594,University of Valley Forge,Phoenixville
